measure_slice	mn	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 3.0)	1	0.0	0.52941	0.0	0.0	0.0	0.11765	0.0	0.11765	0.0	0.11765	0.11765	0.0
[3.0, 7.5)	2	0.0	0.6	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.1
[7.5, 10.5)	3	0.0	0.10526	0.0	0.0	0.0	0.0	0.10526	0.15789	0.0	0.47368	0.0	0.15789
[10.5, 13.5)	4	0.0	0.13527	0.07729	0.0	0.06522	0.07729	0.05797	0.0	0.07729	0.28986	0.14251	0.07729
[13.5, 16.5)	5	0.0	0.10526	0.0	0.0	0.0	0.0	0.10526	0.15789	0.0	0.47368	0.0	0.15789
[16.5, 19.5)	6	0.0	0.13527	0.07729	0.0	0.06522	0.07729	0.05797	0.0	0.07729	0.28986	0.14251	0.07729
[19.5, 22.5)	7	0.0	0.10884	0.16327	0.20068	0.10884	0.0	0.10884	0.10884	0.0	0.09184	0.10884	0.0
[22.5, 25.5)	8	0.02796	0.0	0.12473	0.12903	0.12903	0.25806	0.0	0.0172	0.02796	0.0	0.28602	0.0
[25.5, 28.5)	9	0.02796	0.0	0.12473	0.12903	0.12903	0.25806	0.0	0.0172	0.02796	0.0	0.28602	0.0
[28.5, 31.5)	10	0.0	0.0	0.375	0.25	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[31.5, 34.5)	11	0.0	0.01481	0.0	0.23704	0.0	0.0	0.05926	0.01481	0.0	0.59259	0.08148	0.0
[34.5, 37.5)	12	0.0	0.01481	0.0	0.23704	0.0	0.0	0.05926	0.01481	0.0	0.59259	0.08148	0.0
[37.5, 40.5)	13	0.0	0.03137	0.0	0.21961	0.0	0.0	0.03137	0.03137	0.0	0.61961	0.06667	0.0
[40.5, 43.5)	14	0.0	0.0	0.27143	0.0	0.21429	0.0	0.02143	0.0	0.07857	0.41429	0.0	0.0
[43.5, 46.5)	15	0.0	0.0	0.23077	0.0	0.30769	0.0	0.0	0.0	0.0	0.46154	0.0	0.0
[46.5, 49.5)	16	0.0	0.0	0.22581	0.0	0.06452	0.0	0.06452	0.0	0.09677	0.54839	0.0	0.0
[49.5, 52.5)	17	0.0	0.125	0.125	0.0	0.08333	0.0	0.08333	0.0	0.04167	0.5	0.0	0.04167
[52.5, 55.5)	18	0.0	0.27778	0.125	0.25	0.0	0.0	0.16667	0.02778	0.0	0.125	0.02778	0.0
[55.5, 58.5)	19	0.0	0.02778	0.125	0.25	0.0	0.0	0.16667	0.02778	0.0	0.125	0.27778	0.0
[58.5, 61.5)	20	0.05	0.0	0.16667	0.0	0.1	0.0	0.2	0.0	0.01667	0.3	0.0	0.16667
[61.5, 64.5)	21	0.11111	0.0	0.02778	0.0	0.16667	0.0	0.22222	0.0	0.02778	0.25	0.0	0.19444
[64.5, 67.5)	22	0.18333	0.01667	0.15	0.0	0.11667	0.03333	0.2	0.05	0.01667	0.11667	0.0	0.11667
[67.5, 70.5)	23	0.22727	0.0	0.13636	0.04545	0.18182	0.0	0.13636	0.04545	0.0	0.18182	0.0	0.04545
[70.5, 73.5)	24	0.04615	0.12308	0.04615	0.13846	0.04615	0.0	0.09231	0.12308	0.01538	0.23077	0.0	0.13846
[73.5, 76.5)	25	0.09091	0.21212	0.0	0.0	0.09091	0.0	0.09091	0.18182	0.0	0.27273	0.0	0.06061
[76.5, 79.5)	26	0.0	0.0	0.13043	0.0	0.08696	0.0	0.08696	0.0	0.13043	0.56522	0.0	0.0
[79.5, 82.5)	27	0.0	0.125	0.125	0.0	0.08333	0.0	0.08333	0.0	0.04167	0.5	0.0	0.04167
[82.5, 85.5)	28	0.0	0.01481	0.0	0.23704	0.0	0.0	0.05926	0.01481	0.0	0.59259	0.08148	0.0
[85.5, 88.5)	29	0.0	0.01481	0.0	0.23704	0.0	0.0	0.05926	0.01481	0.0	0.59259	0.08148	0.0
[88.5, 91.5)	30	0.0	0.0	0.0	0.91667	0.08333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[91.5, 94.5)	31	0.0	0.5	0.08333	0.08333	0.0	0.0	0.0	0.33333	0.0	0.0	0.0	0.0
[94.5, 97.5)	32	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.125
[97.5, 100.5)	33	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.125
[100.5, 103.5)	34	0.01724	0.0	0.0	0.31034	0.0	0.0	0.0	0.41379	0.0	0.0	0.0	0.25862
[103.5, 106.5)	35	0.0	0.0	0.0	0.36667	0.0	0.2	0.0	0.2	0.0	0.1	0.01667	0.11667
[106.5, 109.5)	36	0.01724	0.0	0.0	0.31034	0.0	0.0	0.0	0.41379	0.0	0.0	0.0	0.25862
[109.5, 112.5)	37	0.0	0.0	0.0	0.2	0.0	0.16667	0.0	0.2	0.0	0.3	0.01667	0.11667
[112.5, 115.5)	38	0.0	0.0	0.0	0.14583	0.0	0.125	0.0	0.125	0.0	0.14583	0.45833	0.0
[115.5, 118.5)	39	0.08333	0.0	0.11667	0.11667	0.0	0.1	0.0	0.1	0.0	0.08333	0.4	0.0
[118.5, 121.5)	40	0.0	0.0	0.18519	0.25	0.16667	0.0	0.0	0.11111	0.01852	0.0	0.25	0.01852
[121.5, 124.5)	41	0.0	0.0	0.01852	0.25	0.16667	0.0	0.0	0.11111	0.01852	0.0	0.25	0.18519
[124.5, 127.5)	42	0.0	0.0	0.0	0.9	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[127.5, 130.5)	43	0.0	0.5	0.08333	0.08333	0.0	0.0	0.0	0.33333	0.0	0.0	0.0	0.0
[130.5, 133.5)	44	0.0	0.29412	0.0	0.11765	0.11765	0.0	0.0	0.35294	0.0	0.0	0.11765	0.0
[133.5, 136.5)	45	0.0	0.375	0.0	0.08333	0.08333	0.0	0.125	0.25	0.0	0.0	0.08333	0.0
[136.5, 139.5)	46	0.0	0.26471	0.0	0.16667	0.09804	0.0	0.20588	0.20588	0.0	0.0	0.05882	0.0
[139.5, 144.0)	47	0.0	0.34921	0.03175	0.03175	0.15873	0.02381	0.09524	0.14286	0.02381	0.0	0.14286	0.0
[144.0, 147.0)	48	0.0	0.26471	0.0	0.16667	0.09804	0.0	0.20588	0.20588	0.0	0.0	0.05882	0.0
[147.0, 150.0)	49	0.11111	0.15278	0.0	0.23611	0.02778	0.08333	0.125	0.11111	0.0	0.0	0.15278	0.0
[150.0, 153.0)	50	0.24074	0.01852	0.0	0.19444	0.03704	0.05556	0.0	0.18519	0.0	0.14815	0.12037	0.0
[153.0, 156.0)	51	0.11111	0.15278	0.0	0.23611	0.02778	0.08333	0.125	0.11111	0.0	0.0	0.15278	0.0
[156.0, 159.0)	52	0.125	0.02778	0.08333	0.0	0.15278	0.0	0.11111	0.15278	0.0	0.23611	0.02778	0.08333
[159.0, 162.0)	53	0.11111	0.15278	0.0	0.23611	0.02778	0.08333	0.125	0.11111	0.0	0.0	0.15278	0.0
[162.0, 165.0)	54	0.04167	0.04167	0.04167	0.0	0.0	0.0	0.0	0.5	0.0	0.29167	0.04167	0.04167
[165.0, 168.0)	55	0.04167	0.04167	0.04167	0.04167	0.0	0.0	0.0	0.5	0.0	0.25	0.04167	0.04167
[168.0, 171.0)	56	0.02941	0.02941	0.02941	0.26471	0.02941	0.0	0.0	0.35294	0.0	0.20588	0.02941	0.02941
[171.0, 174.0)	57	0.02778	0.19444	0.05556	0.05556	0.0	0.0	0.0	0.44444	0.0	0.16667	0.02778	0.02778
[174.0, 177.0)	58	0.025	0.025	0.025	0.4	0.0	0.0	0.0	0.3	0.0	0.175	0.025	0.025
[177.0, 180.0)	59	0.0	0.0	0.0	0.57143	0.0	0.03571	0.03571	0.25	0.03571	0.03571	0.03571	0.0
[180.0, 183.0)	60	0.08333	0.08333	0.08333	0.0	0.0	0.0	0.0	0.33333	0.0	0.25	0.08333	0.08333
[183.0, 186.0)	61	0.0	0.0	0.0	0.0	0.0	0.13636	0.13636	0.31818	0.13636	0.13636	0.13636	0.0
[186.0, 189.0)	62	0.0	0.47436	0.0	0.20513	0.0	0.0	0.05128	0.01282	0.0	0.01282	0.24359	0.0
[189.0, 192.0)	63	0.0	0.47436	0.0	0.20513	0.0	0.0	0.05128	0.01282	0.0	0.01282	0.24359	0.0
[192.0, 195.0)	64	0.0	0.15152	0.0	0.51515	0.0	0.0	0.06061	0.06061	0.0	0.06061	0.15152	0.0
[195.0, 198.0)	65	0.0	0.09091	0.61364	0.0	0.0	0.0	0.11364	0.0	0.0	0.13636	0.04545	0.0
[198.0, 201.0)	66	0.0	0.26667	0.2	0.0	0.0	0.0	0.26667	0.0	0.0	0.0	0.26667	0.0
[201.0, 204.0)	67	0.0	0.09091	0.61364	0.0	0.0	0.0	0.11364	0.0	0.0	0.13636	0.04545	0.0
[204.0, 207.0)	68	0.0	0.26667	0.2	0.0	0.0	0.0	0.26667	0.0	0.0	0.0	0.26667	0.0
[207.0, 210.0)	69	0.0	0.125	0.5625	0.0	0.0	0.0	0.125	0.0	0.0	0.125	0.0625	0.0
[210.0, 213.0)	70	0.0	0.125	0.5625	0.0	0.0	0.0	0.125	0.0	0.0	0.125	0.0625	0.0
[213.0, 216.0)	71	0.0	0.09091	0.61364	0.0	0.0	0.0	0.11364	0.0	0.0	0.13636	0.04545	0.0
[216.0, 219.0)	72	0.0	0.06579	0.35526	0.0	0.0	0.0	0.27632	0.0	0.0	0.23684	0.06579	0.0
[219.0, 222.0)	73	0.0	0.0	0.42857	0.0	0.0	0.0	0.28571	0.0	0.0	0.28571	0.0	0.0
[222.0, 225.0)	74	0.0	0.0	0.42857	0.0	0.0	0.0	0.28571	0.0	0.0	0.28571	0.0	0.0
